Country_clean,Year,GDP,Population,GDP_per_capita,Rank_pc,Region
Qatar,2020,144411.0,2794148.0,51683.37539743779,12.0,Asia
Romania,2020,252372.0,19265250.0,13099.855958266828,61.0,Europe
Russia,2020,1488118.0,145245148.0,10245.560836221532,66.0,Europe
Rwanda,2020,10174.0,13065837.0,778.6718906718337,179.0,Africa
Samoa,2020,869.0,211944.0,4100.139659532707,113.0,Oceania
San Marino,2020,1543.0,34770.0,44377.33678458441,19.0,Europe
Sao Tome and Principe,2020,476.0,217435.0,2189.1599788442522,142.0,Africa
Saudi Arabia,2020,734271.0,31552510.0,23271.39742606848,40.0,Asia
Senegal,2020,24534.0,16789219.0,1461.294894062672,160.0,Africa
Serbia,2020,55874.0,6899126.0,8098.706995639737,76.0,Europe
Seychelles,2020,1384.0,98462.0,14056.184111636976,58.0,Africa
Sierra Leone,2020,6682.0,7912558.0,844.4803816919889,174.0,Africa
Singapore,2020,349166.0,5685807.0,61410.104141769145,6.0,Asia
Slovakia,2020,107646.0,5458827.0,19719.62108343056,44.0,Europe
Slovenia,2020,53342.0,2102419.0,25371.72656830061,34.0,Europe
Solomon Islands,2020,1536.0,744498.0,2063.1351595303145,145.0,Oceania
Somalia,2020,8628.0,16651191.0,518.1611333387503,188.0,Africa
South Africa,2020,337876.0,60562381.0,5578.97484248514,94.0,Africa
South Sudan,2020,5423.0,10698467.0,506.8950532819328,191.0,Africa
Spain,2020,1288751.0,47359424.0,27212.134167847988,32.0,Europe
Sri Lanka,2020,84304.0,21919000.0,3846.1608650029652,119.0,Asia
Saint Kitts and Nevis,2020,884.0,46870.0,18860.678472370386,46.0,North America
Saint Lucia,2020,1499.0,178250.0,8409.537166900422,74.0,North America
Saint Vincent and the Grenadines,2020,864.0,103526.0,8345.729575179183,75.0,North America
Sudan,2020,35237.0,46789231.0,753.100644034949,181.0,Africa
Suriname,2020,2912.0,612317.0,4755.706602952392,104.0,South America
Sweden,2020,545148.0,10353442.0,52653.79378181671,11.0,Europe
Switzerland,2020,741288.0,8638167.0,85815.42820369183,3.0,Europe
Syria,2020,60043.0,21049429.0,2852.4764258450905,134.0,Asia
Tajikistan,2020,8134.0,9749310.0,834.3154541193171,175.0,Asia
Tanzania,2020,63373.0,60972798.0,1039.365128036276,168.0,Africa
Thailand,2020,500462.0,71641484.0,6985.645355978389,83.0,Asia
Timor-Leste,2020,2163.0,1326053.0,1631.1565224014425,156.0,
Togo,2020,7400.0,8669720.0,853.545443220773,172.0,Africa
Tonga,2020,503.0,105704.0,4758.571104215545,103.0,Oceania
Trinidad and Tobago,2020,20991.0,1366725.0,15358.612742139056,55.0,North America
Tunisia,2020,42494.0,11974057.0,3548.8389607632566,122.0,Africa
Turkey,2020,717114.0,83384680.0,8600.06898149636,72.0,Asia
Turkmenistan,2020,52385.0,6949912.0,7537.505510861145,78.0,Asia
Tuvalu,2020,52.0,10399.0,5000.4808154630255,100.0,Oceania
